address,rest_coords
1789STILLWELL AVENUE11223.0,POINT (-73.986416306156 40.602856408313)
105YORK STREET11201.0,POINT (-73.9864502245 40.701514769798)
7877 AVENUE10019.0,POINT (-73.982622296463 40.761948488597)
7919ROOSEVELT AVENUE11372.0,POINT (-73.886459780596 40.747371102615)
759 AVENUE10011.0,POINT (-74.004713006739 40.741869040229)
1754 AVENUE11217.0,POINT (-73.982276379676 40.678521232789)
109SMITH STREET11201.0,POINT (-73.989499869202 40.688123344125)
3035FULTON STREET11208.0,POINT (-73.882705360106 40.680565085986)
301EAST  204 STREET10467.0,POINT (-73.878539051566 40.8729681197)
199EAST    3 STREET10009.0,POINT (-73.983483937272 40.722893388231)
750218 AVENUE11214.0,POINT (-73.996081288569 40.613298312493)
54148 AVENUE11220.0,POINT (-74.006197392517 40.638736866346)
3520LEAVITT ST11354.0,POINT (-73.82886981316 40.764377586841)
1091 AVENUE10003.0,POINT (-73.98589666698 40.726769320686)
22801LINDEN BLVD11411.0,POINT (-73.733031095789 40.692912768914)
157DREISER LOOP10475.0,POINT (-73.829856252947 40.876633717706)
247COLUMBUS AVENUE10023.0,POINT (-73.979076311085 40.776997395255)
56WILLOUGHBY STREET11201.0,POINT (-73.986643245922 40.69219354596)
94035 AVENUE11209.0,POINT (-74.03055873155 40.616401398709)
13EAST  175 STREET10453.0,POINT (-73.91206666283 40.847565975016)
86210 AVENUE10019.0,POINT (-73.988775892568 40.76879193511)
409FULTON STREET11201.0,POINT (-73.988691507491 40.691996142638)
139HAVEMEYER STREET11211.0,POINT (-73.957280993898 40.711987146474)
212EAST   42 STREET10017.0,POINT (-73.973732237031 40.750449000416)
76HENRY STREET11201.0,POINT (-73.9924987296 40.698545482177)
2263 AVENUE10003.0,POINT (-73.984848149419 40.736507613542)
1380JEROME AVENUE10452.0,POINT (-73.917946160291 40.839843890681)
124WEST   25 STREET10001.0,POINT (-73.992785848455 40.744556032679)
560EAST  149 STREET10455.0,POINT (-73.913255932087 40.814355519392)
8610JUSTICE AVE11373.0,POINT (-73.877061811456 40.737650438025)
47BOND STREET10012.0,POINT (-73.992885275269 40.726020645904)
205NORTH    9 STREET11211.0,POINT (-73.954889055753 40.71792042101)
7095 AVENUE11215.0,POINT (-73.994081697261 40.660692378383)
180NORTH   10 STREET11211.0,POINT (-73.955277889281 40.719062396882)
445MORRIS PARK AVENUE10460.0,POINT (-73.873141433624 40.840407000567)
245EAST   44 STREET10017.0,POINT (-73.972457700545 40.751626203936)
51451ST AVE11101.0,POINT (-73.956319528344 40.742404284861)
19818LINDEN BLVD11412.0,POINT (-73.753830629941 40.693991356783)
201WEST   79 STREET10024.0,POINT (-73.978554358542 40.783244357926)
1022ROSSVILLE AVENUE10309.0,POINT (-74.212092661776 40.552129043699)
10403GLENWOOD ROAD11236.0,POINT (-73.897064801365 40.648566514081)
1411COLLEGE POINT BLVD11356.0,POINT (-73.845759676227 40.785064075151)
303 AVENUE10003.0,POINT (-73.989381353586 40.730255548738)
1186BROADWAY10001.0,POINT (-73.988660719736 40.745601453484)
1299BOSTON ROAD10456.0,POINT (-73.900271700648 40.831334940387)
52238 AVENUE11220.0,POINT (-74.005044470913 40.639812877389)
88ESSEX STREET10002.0,POINT (-73.988402066414 40.718140053728)
240EAST  204 STREET10458.0,POINT (-73.884571791873 40.874209463046)
10116QUEENS BLVD11375.0,POINT (-73.85228561381 40.726378638122)
3201BRICHMOND ROAD10306.0,POINT (-74.127501657859 40.575426141215)
320LEXINGTON AVENUE10016.0,POINT (-73.97772444681 40.749157062451)
1837WESTCHESTER AVENUE10472.0,POINT (-73.864773192356 40.832330663428)
1603CORTELYOU ROAD11226.0,POINT (-73.963412146362 40.641676341765)
12719MERRICK BLVD11434.0,POINT (-73.76528826803 40.68148819318)
1913BRONXDALE AVENUE10462.0,POINT (-73.862060891357 40.848944092381)
12021JAMAICA AVENUE11418.0,POINT (-73.829630057978 40.700277359399)
308651ST ST11377.0,POINT (-73.907764618236 40.757254881333)
1376LEXINGTON AVENUE10128.0,POINT (-73.953379070553 40.782528748221)
148BRUCKNER BOULEVARD10454.0,POINT (-73.920049795182 40.803691619059)
18212 AVENUE10128.0,POINT (-73.947908013696 40.783130241705)
7901BROADWAY11373.0,POINT (-73.886096742623 40.744409142236)
4929 AVENUE10018.0,POINT (-73.994686844973 40.755590075161)
8771PARSONS BLVD11432.0,POINT (-73.802607105429 40.707417104379)
3955VICTORY BOULEVARD10314.0,POINT (-74.186535417853 40.594141496644)
100WEST   23 STREET10011.0,POINT (-73.993237109516 40.743073888506)
220886 STREET11214.0,POINT (-73.993561174222 40.601778331986)
154POST AVENUE10034.0,POINT (-73.919057588359 40.864912331284)
63EAST    4 STREET10003.0,POINT (-73.990662727715 40.726717657129)
211WEST BROADWAY10013.0,POINT (-74.006522337337 40.718933692611)
1915NOSTRAND AVENUE11226.0,POINT (-73.948305537304 40.639095915099)
138MONTAGUE STREET11201.0,POINT (-73.993674784865 40.694604060127)
434246TH ST11104.0,POINT (-73.918501096257 40.744189707687)
137EAST HOUSTON STREET10002.0,POINT (-73.990057103595 40.723347032954)
99CHURCH STREET10007.0,POINT (-74.009479621518 40.712941656837)
5908AMAIN ST11355.0,POINT (-73.82566071205 40.743710162962)
2455 AVENUE10016.0,POINT (-73.987433895269 40.744470483704)
842FRANKLIN AVENUE11225.0,POINT (-73.958487232025 40.669259698557)
3075 AVENUE10016.0,POINT (-73.985755272704 40.746778632367)
2110RICHMOND ROAD10306.0,POINT (-74.111763129075 40.581500348076)
524BROOK AVENUE10455.0,POINT (-73.915152317579 40.814568281379)
574 AVENUE11217.0,POINT (-73.979542319271 40.682574810486)
500WEST   33 STREET10001.0,POINT (-73.99983035853 40.753984513583)
4333 AVENUE11215.0,POINT (-73.990299064306 40.672305274684)
1024ROSSVILLE AVENUE10309.0,POINT (-74.212103535805 40.552153726732)
431825TH AVE11103.0,POINT (-73.909072766763 40.766708877032)
75255 AVENUE11209.0,POINT (-74.022732530073 40.629224106483)
3416BOSTON ROAD10469.0,POINT (-73.850061256786 40.875772553273)
310TOMPKINS AVENUE11216.0,POINT (-73.944694777047 40.687212942813)
4028 AVENUE10001.0,POINT (-73.995221468286 40.749754738358)
231EAST    9 STREET10003.0,POINT (-73.988230482697 40.729613161309)
1775SOUTH AVENUE10314.0,POINT (-74.192970013864 40.601621372485)
230HOYT STREET11217.0,POINT (-73.990055896001 40.683237695461)
11021 AVENUE10065.0,POINT (-73.961390206132 40.760387031457)
22715MERRICK BLVD11413.0,POINT (-73.742851107712 40.676916643273)
1337 AVENUE SOUTH10014.0,POINT (-74.002244385625 40.734565299151)
2301BORDEN AVE11101.0,POINT (-73.94725266915 40.739932932258)
11905LIBERTY AVENUE11419.0,POINT (-73.823936340648 40.686328027808)
245EAST   93 STREET10128.0,POINT (-73.949699290036 40.782826372948)
9615LIBERTY AVENUE11417.0,POINT (-73.842638180373 40.680681768141)
31079TH ST11209.0,POINT (-74.028561236967 40.628451517147)
6003FORT HAMILTON PARKWAY11219.0,POINT (-74.005681652926 40.632989318967)
60-02WOODSIDE AVENUE11377.0,POINT (-73.904320622438 40.745059827543)
9009ROOSEVELT AVE11372.0,POINT (-73.876117871392 40.748452818653)
785 AVENUE10011.0,POINT (-73.993840463019 40.735704232923)
228CANAL STREET10013.0,POINT (-73.999545465016 40.717701476381)
8201ROOSEVELT AVENUE11372.0,POINT (-73.88379943521 40.747648405103)
60FURMAN STREET11201.0,POINT (-73.995527884559 40.70157861295)
146SMITH STREET11201.0,POINT (-73.990412328361 40.686819656436)
40ST NICHOLAS AVENUE11237.0,POINT (-73.92116862929 40.707238767764)
95PROSPECT PARK WEST11215.0,POINT (-73.974507641408 40.667384209409)
110-00ROCKAWAY BOULEVARD11420.0,POINT (-73.828757893149 40.677664571164)
341EAST   10 STREET10009.0,POINT (-73.980372864261 40.727064943235)
